source,target,weight
Napoleon,Myriel,1
MlleBaptistine,Myriel,8
MmeMagloire,Myriel,10
MmeMagloire,MlleBaptistine,6
CountessDeLo,Myriel,1
Geborand,Myriel,1
Champtercier,Myriel,1
Cravatte,Myriel,1
Count,Myriel,2
OldMan,Myriel,1
Valjean,Myriel,5
Valjean,MlleBaptistine,3
Valjean,MmeMagloire,3
Valjean,Labarre,1
Marguerite,Valjean,1
MmeDeR,Valjean,1
Isabeau,Valjean,1
Gervais,Valjean,1
Listolier,Tholomyes,4
Fameuil,Tholomyes,4
Fameuil,Listolier,4
Blacheville,Tholomyes,4
Blacheville,Listolier,4
Blacheville,Fameuil,4
Favourite,Tholomyes,3
Favourite,Listolier,3
Favourite,Fameuil,3
Favourite,Blacheville,4
Dahlia,Tholomyes,3
Dahlia,Listolier,3
Dahlia,Fameuil,3
Dahlia,Blacheville,3
Dahlia,Favourite,5
Zephine,Tholomyes,3
Zephine,Listolier,3
Zephine,Fameuil,3
Zephine,Blacheville,3
Zephine,Favourite,4
Zephine,Dahlia,4
Fantine,Valjean,9
Fantine,Marguerite,2
Fantine,Tholomyes,3
Fantine,Listolier,3
Fantine,Fameuil,3
Fantine,Blacheville,3
Fantine,Favourite,4
Fantine,Dahlia,4
Fantine,Zephine,4
MmeThenardier,Valjean,7
MmeThenardier,Fantine,2
Thenardier,Valjean,12
Thenardier,Fantine,1
Thenardier,MmeThenardier,13
Cosette,Valjean,31
Cosette,Tholomyes,1
Cosette,MmeThenardier,4
Cosette,Thenardier,1
Javert,Valjean,17
Javert,Fantine,5
Javert,MmeThenardier,1
Javert,Thenardier,5
Javert,Cosette,1
Fauchelevent,Valjean,8
Fauchelevent,Javert,1
Bamatabois,Valjean,2
Bamatabois,Fantine,1
Bamatabois,Javert,1
Perpetue,Fantine,1
Simplice,Valjean,3
Simplice,Fantine,2
Simplice,Javert,1
Simplice,Perpetue,2
Scaufflaire,Valjean,1
Woman1,Valjean,2
Woman1,Javert,1
Judge,Valjean,3
Judge,Bamatabois,2
Champmathieu,Valjean,3
Champmathieu,Bamatabois,2
Champmathieu,Judge,3
Brevet,Valjean,2
Brevet,Bamatabois,1
Brevet,Judge,2
Brevet,Champmathieu,2
Chenildieu,Valjean,2
Chenildieu,Bamatabois,1
Chenildieu,Judge,2
Chenildieu,Champmathieu,2
Chenildieu,Brevet,2
Cochepaille,Valjean,2
Cochepaille,Bamatabois,1
Cochepaille,Judge,2
Cochepaille,Champmathieu,2
Cochepaille,Brevet,2
Cochepaille,Chenildieu,2
Pontmercy,Thenardier,1
Boulatruelle,Thenardier,1
Eponine,MmeThenardier,2
Eponine,Thenardier,3
Anzelma,MmeThenardier,1
Anzelma,Thenardier,2
Anzelma,Eponine,2
Woman2,Valjean,3
Woman2,Cosette,1
Woman2,Javert,1
MotherInnocent,Valjean,1
MotherInnocent,Fauchelevent,3
Gribier,Fauchelevent,2
MmeBurgon,Jondrette,1
Gavroche,Valjean,1
Gavroche,Thenardier,1
Gavroche,Javert,1
Gavroche,MmeBurgon,2
Gillenormand,Valjean,2
Gillenormand,Cosette,3
Magnon,MmeThenardier,1
Magnon,Gillenormand,1
MlleGillenormand,Valjean,2
MlleGillenormand,Cosette,2
MlleGillenormand,Gillenormand,9
MmePontmercy,Pontmercy,1
MmePontmercy,MlleGillenormand,1
MlleVaubois,MlleGillenormand,1
LtGillenormand,Cosette,1
LtGillenormand,Gillenormand,1
LtGillenormand,MlleGillenormand,2
Marius,Valjean,19
Marius,Tholomyes,1
Marius,Thenardier,2
Marius,Cosette,21
Marius,Pontmercy,1
Marius,Eponine,5
Marius,Gavroche,4
Marius,Gillenormand,12
Marius,MlleGillenormand,6
Marius,LtGillenormand,1
BaronessT,Gillenormand,1
BaronessT,Marius,1
Mabeuf,Eponine,1
Mabeuf,Gavroche,1
Mabeuf,Marius,1
Enjolras,Valjean,4
Enjolras,Javert,6
Enjolras,Gavroche,7
Enjolras,Marius,7
Enjolras,Mabeuf,1
Combeferre,Gavroche,6
Combeferre,Marius,5
Combeferre,Mabeuf,2
Combeferre,Enjolras,15
Prouvaire,Gavroche,1
Prouvaire,Enjolras,4
Prouvaire,Combeferre,2
Feuilly,Gavroche,2
Feuilly,Marius,1
Feuilly,Mabeuf,1
Feuilly,Enjolras,6
Feuilly,Combeferre,5
Feuilly,Prouvaire,2
Courfeyrac,Eponine,1
Courfeyrac,Gavroche,7
Courfeyrac,Marius,9
Courfeyrac,Mabeuf,2
Courfeyrac,Enjolras,17
Courfeyrac,Combeferre,13
Courfeyrac,Prouvaire,3
Courfeyrac,Feuilly,6
Bahorel,Gavroche,5
Bahorel,Marius,1
Bahorel,Mabeuf,2
Bahorel,Enjolras,4
Bahorel,Combeferre,5
Bahorel,Prouvaire,2
Bahorel,Feuilly,3
Bahorel,Courfeyrac,6
Bossuet,Valjean,1
Bossuet,Gavroche,5
Bossuet,Marius,5
Bossuet,Mabeuf,1
Bossuet,Enjolras,10
Bossuet,Combeferre,9
Bossuet,Prouvaire,2
Bossuet,Feuilly,6
Bossuet,Courfeyrac,12
Bossuet,Bahorel,4
Joly,Gavroche,3
Joly,Marius,2
Joly,Mabeuf,1
Joly,Enjolras,5
Joly,Combeferre,5
Joly,Prouvaire,2
Joly,Feuilly,5
Joly,Courfeyrac,5
Joly,Bahorel,5
Joly,Bossuet,7
Grantaire,Gavroche,1
Grantaire,Enjolras,3
Grantaire,Combeferre,1
Grantaire,Prouvaire,1
Grantaire,Feuilly,1
Grantaire,Courfeyrac,2
Grantaire,Bahorel,1
Grantaire,Bossuet,3
Grantaire,Joly,2
MotherPlutarch,Mabeuf,3
Gueulemer,Valjean,1
Gueulemer,MmeThenardier,1
Gueulemer,Thenardier,5
Gueulemer,Javert,1
Gueulemer,Eponine,1
Gueulemer,Gavroche,1
Babet,Valjean,1
Babet,MmeThenardier,1
Babet,Thenardier,6
Babet,Javert,2
Babet,Eponine,1
Babet,Gavroche,1
Babet,Gueulemer,6
Claquesous,Valjean,1
Claquesous,MmeThenardier,1
Claquesous,Thenardier,4
Claquesous,Javert,1
Claquesous,Eponine,1
Claquesous,Enjolras,1
Claquesous,Gueulemer,4
Claquesous,Babet,4
Montparnasse,Valjean,1
Montparnasse,Thenardier,1
Montparnasse,Javert,1
Montparnasse,Eponine,1
Montparnasse,Gavroche,1
Montparnasse,Gueulemer,2
Montparnasse,Babet,2
Montparnasse,Claquesous,2
Toussaint,Valjean,1
Toussaint,Cosette,2
Toussaint,Javert,1
Child1,Gavroche,2
Child2,Gavroche,2
Child2,Child1,3
Brujon,Thenardier,3
Brujon,Eponine,1
Brujon,Gavroche,1
Brujon,Gueulemer,3
Brujon,Babet,3
Brujon,Claquesous,1
Brujon,Montparnasse,1
MmeHucheloup,Gavroche,1
MmeHucheloup,Enjolras,1
MmeHucheloup,Courfeyrac,1
MmeHucheloup,Bahorel,1
MmeHucheloup,Bossuet,1
MmeHucheloup,Joly,1
MmeHucheloup,Grantaire,1
